name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score
Commercial on East Ann Arbor Avenue,commercial,"Dallas County, Texas",East Ann Arbor Avenue,32.69079111688009,-96.81635212,49583.526348512525,32229.29,2994.101041,961705.0,961.7,2634.8,73.1,5036,40982,0,2,0.081
Office on Villa Creek Drive,office,"Dallas County, Texas",Villa Creek Drive,32.91231288714998,-96.888326,54566.3014444962,35468.1,3294.98649,1058350.0,1058.35,2899.6,80.5,4093,32437,4,22,0.0675
Commercial on Marvin D Love Freeway,commercial,"Dallas County, Texas",Marvin D Love Freeway,32.67715346266575,-96.85767502,21828.55273642991,14188.56,1318.1172239999999,423379.0,423.38,1159.9,32.2,3978,38742,0,7,0.0619
Commercial on Kirnwood Drive,commercial,"Dallas County, Texas",Kirnwood Drive,32.642307223572125,-96.87499678,64055.18984071947,41635.87,3867.972323,1242393.0,1242.39,3403.8,94.5,4633,32074,5,9,0.0767
Commercial on West Virginia Drive,commercial,"Dallas County, Texas",West Virginia Drive,32.650339394984705,-96.87636278,47694.96409491016,31001.73,2880.060717,925076.0,925.08,2534.5,70.3,5850,32690,4,9,0.0929
Commercial on York Drive,commercial,"Dallas County, Texas",York Drive,32.64464016394096,-96.88024476,57349.56640881134,37277.22,3463.053738,1112333.0,1112.33,3047.5,84.6,5643,31276,4,9,0.091
Commercial on Scotland Drive,commercial,"Dallas County, Texas",Scotland Drive,32.6430136608444,-96.88025218,53338.02136388285,34669.71,3220.8160589999998,1034526.0,1034.53,2834.3,78.7,5333,31224,4,9,0.0859
Industrial on South Central Expressway,industrial,"Dallas County, Texas",South Central Expressway,32.70065674995087,-96.74370043,74451.53343,48393.5,4495.75615,1444037.0,1444.04,3956.3,109.8,980,17612,0,1,0.0235
Commercial on Forest Lane,commercial,"Dallas County, Texas",Forest Lane,32.90879915997562,-96.86105232,54148.16826965552,35196.31,3269.7371989999997,1050240.0,1050.24,2877.4,79.9,4538,39491,0,31,0.0741
Commercial on High Dale Drive,commercial,"Dallas County, Texas",High Dale Drive,32.911116594614384,-96.86157026,88094.69525814716,57261.55,5319.597995,1708655.0,1708.66,4681.2,129.9,4470,39780,0,32,0.0772
Retail on Dunloe Drive,retail,"Dallas County, Texas",Dunloe Drive,32.83603951,-96.67421833,149438.17695626794,97134.82,9023.824778,2898453.0,2898.45,7941.0,220.4,5805,51924,0,8,0.1044
Commercial on Centerville Road,commercial,"Dallas County, Texas",Centerville Road,32.84370860735287,-96.66923174,113561.16677097454,73814.76,6857.391204,2202594.0,2202.59,6034.5,167.5,6022,51341,0,8,0.1034
Commercial on Alvin Street,commercial,"Dallas County, Texas",Alvin Street,32.84399244882163,-96.68684293,147335.32110561518,95767.96,8896.843484,2857666.0,2857.67,7829.2,217.3,5623,49721,2,6,0.1015
Commercial on Plano Road,commercial,"Dallas County, Texas",Plano Road,32.88031927423685,-96.70142948,53246.95554804697,34610.52,3215.3173079999997,1032760.0,1032.76,2829.5,78.5,6482,56008,1,8,0.103
Commercial on Amberton Parkway,commercial,"Dallas County, Texas",Amberton Parkway,32.91820303765642,-96.74059018,42171.95611229262,27411.77,2546.553433,817953.0,817.95,2241.0,62.2,8843,69113,0,19,0.1369
Industrial on Forest Lane,industrial,"Dallas County, Texas",Forest Lane,32.91131929734914,-96.75299167,902017.0315335842,586311.07,54468.29840299999,17495217.0,17495.22,47932.1,1330.2,6928,71199,0,20,0.2114
Commercial on Northaven Road,commercial,"Dallas County, Texas",Northaven Road,32.899822326972675,-96.77267187,126444.2104389074,82188.74,7635.333946000001,2452469.0,2452.47,6719.1,186.5,8846,70054,3,26,0.147
Commercial on Greenville Avenue,commercial,"Dallas County, Texas",Greenville Avenue,32.87699266027331,-96.75949554,45669.40884727591,29685.12,2757.747648,885789.0,885.79,2426.8,67.4,12331,74963,5,17,0.1893
Commercial on White Rock Trail,commercial,"Dallas County, Texas",White Rock Trail,32.87283115228481,-96.72949191,31378.22646715988,20395.85,1894.7744649999997,608602.0,608.6,1667.4,46.3,6660,73883,2,14,0.103
Commercial on White Rock Trail,commercial,"Dallas County, Texas",White Rock Trail,32.87060130465827,-96.73017599,134792.99699680423,87615.45,8139.475304999999,2614399.0,2614.4,7162.7,198.8,6679,73030,2,16,0.1157
Commercial on Valley Ranch Parkway West,commercial,"Dallas County, Texas",Valley Ranch Parkway West,32.92781816992456,-96.95902647,35755.81193844888,23241.28,2159.114912,693508.0,693.51,1900.0,52.7,8386,32373,3,22,0.1293
Commercial on Maple Avenue,commercial,"Dallas County, Texas",Maple Avenue,32.82124992449322,-96.83744989,42165.36318501174,27407.49,2546.155821,817825.0,817.82,2240.6,62.2,9156,62596,16,92,0.1415
Commercial on Preston Road,commercial,"Dallas County, Texas",Preston Road,32.92203875,-96.80304951,25648.224752330803,16671.35,1548.7684149999998,497464.0,497.46,1362.9,37.8,5889,63650,9,49,0.0909
Commercial on Noel Road,commercial,"Dallas County, Texas",Noel Road,32.92143190382637,-96.81433362,80365.22248416374,52237.39,4852.853531,1558737.0,1558.74,4270.5,118.5,7324,57203,10,44,0.1188
Commercial on Churchill Way,commercial,"Dallas County, Texas",Churchill Way,32.91637013,-96.80251515,34081.515307710775,22152.98,2058.011842,661033.0,661.03,1811.0,50.3,4499,59837,2,40,0.0711
Commercial on West Campbell Road,commercial,"Dallas County, Texas",West Campbell Road,32.97740600367986,-96.76117332,50925.60234132106,33101.64,3075.142356,987736.0,987.74,2706.1,75.1,5639,52812,4,23,0.0902
Commercial on Midway Road,commercial,"Dallas County, Texas",Midway Road,32.944591964968865,-96.83825348,58518.85590175232,38037.26,3533.661454,1135012.0,1135.01,3109.6,86.3,7462,60862,11,44,0.1182
Warehouse on Spring Valley Road,warehouse,"Dallas County, Texas",Spring Valley Road,32.9406863,-96.8346195,125751.48178924952,81738.46,7593.502934,2439033.0,2439.03,6682.3,185.4,8307,59928,14,45,0.1389
Commercial on Dilbeck Lane,commercial,"Dallas County, Texas",Dilbeck Lane,32.92872866439271,-96.80078022,36353.28619140391,23629.64,2195.1935559999997,705096.0,705.1,1931.8,53.6,7358,65335,8,48,0.114
Commercial on Thackery Street,commercial,"Dallas County, Texas",Thackery Street,32.86676878825856,-96.79354524,313173.5722110697,203562.82,18910.985978,6074209.0,6074.21,16641.7,461.8,6282,64226,1,14,0.1312
Commercial on McKinney Avenue,commercial,"Dallas County, Texas",McKinney Avenue,32.799275353001256,-96.8014171,39454.79057445262,25645.61,2382.477169,765252.0,765.25,2096.6,58.2,26369,96995,66,131,0.3978
Commercial on Crescent Court,commercial,"Dallas County, Texas",Crescent Court,32.79459506899461,-96.8044062,118817.6193135712,77231.45,7174.801705,2304546.0,2304.55,6313.8,175.2,22975,95269,62,130,0.3567
Alfred Horatio Belo House,office,"Dallas County, Texas",Ross Avenue,32.78837300477723,-96.79871343,33674.64463,21888.52,2033.443508,653142.0,653.14,1789.4,49.7,21687,93243,80,128,0.3273
Warehouse on Valley View Lane,warehouse,"Dallas County, Texas",Valley View Lane,32.91961747241488,-96.92424236,180553.71809034864,117359.92,10902.736568,3501959.0,3501.96,9594.4,266.3,1132,35805,1,27,0.0385
The Centrum,commercial,"Dallas County, Texas",Oak Lawn Avenue,32.80915346677074,-96.8077561,108225.82736554185,70346.79,6535.216790999999,2099112.0,2099.11,5751.0,159.6,24658,96702,29,138,0.3805
Commercial on Dickason Avenue,commercial,"Dallas County, Texas",Dickason Avenue,32.80696927519055,-96.80827826,24022.57472808828,15614.67,1450.602843,465934.0,465.93,1276.5,35.4,24751,96250,30,138,0.3718
Commercial on Mockingbird Lane,commercial,"Dallas County, Texas",Mockingbird Lane,32.83639380144652,-96.80560028,47048.99533,30581.85,2841.053865,912547.0,912.55,2500.1,69.4,5462,90492,1,67,0.0871
Commercial on Lomo Alto Drive,commercial,"Dallas County, Texas",Lomo Alto Drive,32.86130018578164,-96.81119488,30090.19680050333,19558.63,1816.996727,583619.0,583.62,1599.0,44.4,4204,56595,1,24,0.0663
Commercial on Berkshire Lane,commercial,"Dallas County, Texas",Berkshire Lane,32.86493825094828,-96.80474899,54079.75042480425,35151.84,3265.6059359999995,1048913.0,1048.91,2873.7,79.8,5041,60002,1,25,0.0816
Commercial on North Greenville Avenue,commercial,"Dallas County, Texas",North Greenville Avenue,32.97803478863397,-96.70787057,50939.97024,33110.98,3076.0100420000003,988014.0,988.01,2706.9,75.1,3846,43249,11,37,0.0634
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.95515455,-96.7132349,40707.56666078163,26459.92,2458.1265679999997,789550.0,789.55,2163.2,60.0,3783,50823,2,23,0.0613
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.95794159002869,-96.70832955,46613.85529303048,30299.01,2814.7780289999996,904107.0,904.11,2477.0,68.7,3725,49522,3,20,0.0611
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.95898040562181,-96.70827591,44201.23042761826,28730.8,2669.09132,857312.0,857.31,2348.8,65.2,3665,49295,3,22,0.0599
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.95988135040293,-96.70607509,79263.86221235368,51521.51,4786.348279,1537375.0,1537.38,4212.0,116.9,3684,49304,3,21,0.0644
Commercial on Executive Drive East,commercial,"Dallas County, Texas",Executive Drive East,32.96273320009247,-96.70990146,35428.55014473862,23028.56,2139.353224,687160.0,687.16,1882.6,52.2,3542,48365,8,24,0.057
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.961322192523326,-96.70844069,53524.15592,34790.7,3232.0560299999997,1038136.0,1038.14,2844.2,78.9,3549,48856,5,22,0.0593
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.96138721462992,-96.71462177,47162.34635511941,30655.53,2847.898737,914745.0,914.74,2506.2,69.6,3634,48753,5,26,0.0598
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.961315373126475,-96.70648278,52651.96336242783,34223.78,3179.389162,1021220.0,1021.22,2797.9,77.6,3576,48934,4,23,0.0596
Commercial on Alma Road,commercial,"Dallas County, Texas",Alma Road,32.96224309154989,-96.71622131,44390.23845249571,28853.65,2680.504085,860978.0,860.98,2358.8,65.5,3676,48720,5,28,0.0601
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.970808658799534,-96.70707676,69155.79427,44951.27,4175.972983,1341323.0,1341.32,3674.9,102.0,3460,45384,8,34,0.0599
Commercial on North Glenville Drive,commercial,"Dallas County, Texas",North Glenville Drive,32.96926801170842,-96.70703847,39894.90246314574,25931.69,2409.054001,773788.0,773.79,2120.0,58.8,3474,46064,8,33,0.0566
Promenade Shopping Center,commercial,"Dallas County, Texas",North Coit Road,32.95520054064879,-96.76809975,167125.76453810203,108631.75,10091.889575,3241515.0,3241.52,8880.9,246.5,5410,61957,0,31,0.1007
Office on Gateway Boulevard,office,"Dallas County, Texas",Gateway Boulevard,32.97274210985721,-96.72206369,31565.442213603543,20517.54,1906.079466,612233.0,612.23,1677.4,46.6,4040,45427,4,39,0.064
Office on Gateway Boulevard,office,"Dallas County, Texas",Gateway Boulevard,32.97174369431906,-96.72206434,31776.67552731472,20654.84,1918.834636,616330.0,616.33,1688.6,46.9,3978,45714,4,39,0.0631
The Plaza,commercial,"Dallas County, Texas",Richardson Drive,32.96751777663472,-96.72795188,49711.89644087618,32312.73,3001.852617,964195.0,964.2,2641.6,73.3,4274,49230,1,43,0.0697
Commercial on Wisteria Way,commercial,"Dallas County, Texas",Wisteria Way,32.96399761904659,-96.75082875,52529.09040415675,34143.91,3171.969239,1018837.0,1018.84,2791.3,77.5,4776,50981,0,39,0.0775
Kraft,industrial,"Dallas County, Texas",Forest Lane,32.90720558385896,-96.66341399,610072.7664390603,396547.3,36839.24417,11832765.0,11832.76,32418.5,899.7,4096,46901,1,5,0.1342
Forum 3,office,"Dallas County, Texas",Belt Line Road,32.951918720606564,-96.84674063,47916.31557622161,31145.61,2893.427169,929369.0,929.37,2546.2,70.7,5810,67258,6,43,0.0923
Office on Addison Road,office,"Dallas County, Texas",Addison Road,32.96935582015243,-96.82829103,57581.01359868545,37427.66,3477.029614,1116822.0,1116.82,3059.8,84.9,7570,80243,5,40,0.1197
Storage Star Forest Lane,commercial,"Dallas County, Texas",Forest Lane,32.908539511261175,-96.88447078,79069.61326334414,51395.25,4774.618725,1533608.0,1533.61,4201.7,116.6,4761,33221,1,22,0.0804
Southwest Kia Mesquite,retail,"Dallas County, Texas",Oates Drive,32.83856195001451,-96.63162427,32604.101227508498,21192.67,1968.7990429999998,632378.0,632.38,1732.5,48.1,5755,48596,2,5,0.0897
Commercial on Royal Lane,commercial,"Dallas County, Texas",Royal Lane,32.89552854,-96.89288359,29501.82343002631,19176.19,1781.4680509999998,572208.0,572.21,1567.7,43.5,3071,33604,4,18,0.0493
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.86285483863633,-96.76849218,27682.834564152123,17993.84,1671.627736,536927.0,536.93,1471.0,40.8,15536,69528,3,14,0.2349
High Point Center,commercial,"Dallas County, Texas",Greenville Avenue,32.91435962245566,-96.74601286,41004.04369338787,26652.63,2476.029327,795301.0,795.3,2178.9,60.5,8006,70128,0,21,0.1242
Good Coworking,commercial,"Dallas County, Texas",South Good-Latimer Expressway,32.77552699,-96.78079075,34116.45501287862,22175.7,2060.12253,661711.0,661.71,1812.9,50.3,6810,77815,10,117,0.1056
Office on Montfort Drive,office,"Dallas County, Texas",Montfort Drive,32.93504185452204,-96.81559478,37731.69163339575,24525.6,2278.4282399999997,731831.0,731.83,2005.0,55.6,14488,61683,17,45,0.2205
Retail on Belt Line Road,retail,"Dallas County, Texas",Belt Line Road,32.95337234337669,-96.82117222,54287.75063422918,35287.04,3278.166016,1052947.0,1052.95,2884.8,80.1,15650,63394,15,42,0.2398
Movement Design District,commercial,"Dallas County, Texas",Glass Street,32.790068539750294,-96.82331643,28890.183575191248,18778.62,1744.533798,560344.0,560.34,1535.2,42.6,6632,86145,11,139,0.1023
Costco,retail,"Dallas County, Texas",Churchill Way,32.919557211653014,-96.7684286,153347.45731834063,99675.85,9259.886465,2974276.0,2974.28,8148.7,226.1,7500,66543,5,26,0.1302
American Airlines Center,commercial,"Dallas County, Texas",Victory Avenue,32.79048501281591,-96.8102794,189856.3902560817,123406.65,11464.477785,3682390.0,3682.39,10088.7,280.0,16663,92291,81,132,0.2711
Exchange Logistics,warehouse,"Dallas County, Texas",Glenfield Avenue,32.71868195286547,-96.87180395,115374.11656448776,74993.18,6966.866421999999,2237757.0,2237.76,6130.8,170.1,6250,47049,0,3,0.107
Commercial on Glenfield Avenue,commercial,"Dallas County, Texas",Glenfield Avenue,32.71867466092288,-96.86906686,116608.20517384766,75795.33,7041.386157,2261693.0,2261.69,6196.4,172.0,6380,48422,0,3,0.1091
Warehouse on Glenfield Avenue,warehouse,"Dallas County, Texas",Glenfield Avenue,32.71726052502369,-96.87034547,197909.0576196344,128640.89,11950.738680999999,3838577.0,3838.58,10516.6,291.9,6115,47642,0,3,0.1149
Warehouse on Hansboro Avenue,warehouse,"Dallas County, Texas",Hansboro Avenue,32.716211248095306,-96.87218777,74306.32326592403,48299.11,4486.987319,1441220.0,1441.22,3948.5,109.6,5869,46581,0,3,0.0964
Commercial on South Lancaster Road,commercial,"Dallas County, Texas",South Lancaster Road,32.708571354405414,-96.80027496,183908.6725901141,119540.64,11105.325455999999,3567031.0,3567.03,9772.7,271.2,5275,37292,0,4,0.1007
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90666026066305,-96.67111975,279127.6296055547,181432.96,16855.121983999998,5413865.0,5413.86,14832.5,411.6,3899,51780,0,5,0.0916
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90489025000001,-96.6726102,330732.8055155796,214976.32,19971.300128,6414782.0,6414.78,17574.7,487.7,3586,52623,0,5,0.0931
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90499669152648,-96.66988678,231011.0773333101,150157.2,13949.60388,4480613.0,4480.61,12275.7,340.7,3658,50803,0,5,0.0822
Warehouse on South International Road,warehouse,"Dallas County, Texas",South International Road,32.90273231940744,-96.67288938,251883.7839568804,163724.46,15210.002333999999,4885453.0,4885.45,13384.8,371.5,3202,52541,0,5,0.0779
Warehouse on Loop 12 TEXpress,warehouse,"Dallas County, Texas",Loop 12 TEXpress,32.86982273,-96.89944349,135303.99580008065,87947.6,8170.33204,2624311.0,2624.31,7189.9,199.5,1161,33641,1,21,0.0335
Warehouse on King William Drive,warehouse,"Dallas County, Texas",King William Drive,32.86778185,-96.8997672,113223.6535,73595.37,6837.009872999999,2196048.0,2196.05,6016.6,167.0,1161,33297,1,20,0.0309
Warehouse on King William Drive,warehouse,"Dallas County, Texas",King William Drive,32.870200239811744,-96.90075389,119379.34510331044,77596.57,7208.721353000001,2315441.0,2315.44,6343.7,176.1,1161,33828,1,22,0.0316
Warehouse on Goodnight Lane,warehouse,"Dallas County, Texas",Goodnight Lane,32.87263882458236,-96.90090835,143503.32413160737,93277.16,8665.448164,2783342.0,2783.34,7625.6,211.6,1161,34134,1,23,0.0345
Commercial on Exhibit Terrace,commercial,"Dallas County, Texas",Exhibit Terrace,32.77982037962014,-96.75660956,58325.86683891274,37911.81,3522.0071489999996,1131269.0,1131.27,3099.4,86.0,4239,63862,0,79,0.0702
Commercial on Jackson Street,commercial,"Dallas County, Texas",Jackson Street,32.77782107111343,-96.80330722,42174.25394138834,27413.27,2546.692783,817998.0,818.0,2241.1,62.2,11647,83838,68,127,0.1787
Commercial on South Market Street,commercial,"Dallas County, Texas",South Market Street,32.77551439265743,-96.8055489,55717.92814666559,36216.65,3364.526785,1080686.0,1080.69,2960.8,82.2,10128,80379,56,125,0.1576
Industrial on Young Street,industrial,"Dallas County, Texas",Young Street,32.7751501,-96.80629657,65469.47775216728,42555.16,3953.3743640000002,1269824.0,1269.82,3479.0,96.5,9796,79612,52,125,0.1539
Warehouse on Miller Park South,warehouse,"Dallas County, Texas",Miller Park South,32.902912524900714,-96.67579358,288080.67472004413,187252.44,17395.751676,5587515.0,5587.52,15308.3,424.8,3151,54386,0,5,0.0815
Warehouse on Marquis Drive,warehouse,"Dallas County, Texas",Marquis Drive,32.90162252520609,-96.67569704,153883.3206390392,100024.16,9292.244464,2984669.0,2984.67,8177.2,226.9,2876,54172,0,5,0.0613
Academy Sports + Outdoors,retail,"Dallas County, Texas",Forest Central Drive,32.90653448416899,-96.76633775,57689.50033550211,37498.18,3483.580922,1118926.0,1118.93,3065.6,85.1,7263,71024,4,24,0.1152
The Home Depot,commercial,"Dallas County, Texas",Forest Central Drive,32.907023155452364,-96.76481574,115372.3779309481,74992.05,6966.761445,2237724.0,2237.72,6130.8,170.1,7060,71329,4,24,0.1191
The Container Store,warehouse,"Dallas County, Texas",Ruby Road,32.960743977156994,-97.01023057,1069891.7620363822,695429.65,64605.414485,20751259.0,20751.26,56852.8,1577.8,1712,21167,0,14,0.1537
Warehouse on Loch Lane,warehouse,"Dallas County, Texas",Loch Lane,32.95830104,-97.00916614,558296.3352858685,362892.62,33712.724398,10828527.0,10828.53,29667.2,823.3,1709,21035,0,14,0.0924
Commercial on Saturn Drive,commercial,"Dallas County, Texas",Saturn Drive,32.683029316418256,-96.8650147,39117.72857178887,25426.52,2362.123708,758714.0,758.71,2078.7,57.7,3455,40344,0,7,0.0562
Commercial on Saturn Drive,commercial,"Dallas County, Texas",Saturn Drive,32.685674168277224,-96.86493636,23296.15302596341,15142.5,1406.7382499999999,451844.0,451.84,1237.9,34.4,3545,41226,0,2,0.0556
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.67898442232267,-96.86276988,21051.422270886585,13683.42,1271.1897179999999,408306.0,408.31,1118.6,31.0,3545,39136,0,8,0.0554
Commercial on 1st Continental Place,commercial,"Dallas County, Texas",1st Continental Place,32.679929801579014,-96.86254742,35875.74158448853,23319.23,2166.356467,695834.0,695.83,1906.4,52.9,3620,39489,0,7,0.0583
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.68000259490315,-96.86192348,20691.54113,13449.5,1249.45855,401326.0,401.33,1099.5,30.5,3695,39546,0,7,0.0576
Commercial on 1st Continental Place,commercial,"Dallas County, Texas",1st Continental Place,32.68036570510581,-96.86260684,28574.302635882515,18573.3,1725.4595699999998,554218.0,554.22,1518.4,42.1,3635,39645,0,7,0.0576
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.680511677164695,-96.86300131,29782.69916270249,19358.75,1798.4278749999999,577655.0,577.66,1582.6,43.9,3596,39674,0,7,0.0572
Warehouse on International Parkway,warehouse,"Dallas County, Texas",International Parkway,32.857443971132525,-96.66197978,99376.16874838113,64594.51,6000.829979,1927467.0,1927.47,5280.7,146.6,6351,47327,0,7,0.1066
Warehouse on International Parkway,warehouse,"Dallas County, Texas",International Parkway,32.85752898924832,-96.6639473,25032.04548165409,16270.83,1511.560107,485513.0,485.51,1330.2,36.9,6413,47085,0,8,0.0986
12750 Perimeter,warehouse,"Dallas County, Texas",Perimeter Drive,32.86004631249099,-96.65980317,182736.28540913944,118778.59,11034.531011,3544291.0,3544.29,9710.4,269.5,6196,47239,0,7,0.1143
Warehouse on Corporate Drive,warehouse,"Dallas County, Texas",Corporate Drive,32.86055468862437,-96.66207621,174291.14337818648,113289.24,10524.570396000001,3380492.0,3380.49,9261.6,257.0,6251,46919,1,7,0.1141
Warehouse on Shiloh Road,warehouse,"Dallas County, Texas",Shiloh Road,32.85612353112676,-96.66682582,101469.01950919686,65954.86,6127.206494,1968059.0,1968.06,5391.9,149.6,6475,46983,0,8,0.1087
Commercial on Alpha Road,commercial,"Dallas County, Texas",Alpha Road,32.93228755000001,-96.809336,51491.56508402797,33469.52,3109.3184079999996,998713.0,998.71,2736.2,75.9,12511,63581,12,45,0.1927
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76072501007305,-96.88608931,332078.7275894353,215851.17,20052.573693000002,6440887.0,6440.89,17646.3,489.7,2353,34104,9,15,0.0749
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.75866673336422,-96.88412414,1016860.7545689208,660959.49,61403.136621,19722687.0,19722.69,54034.8,1499.6,3042,36051,9,15,0.1672
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76232983767438,-96.89078347,472430.7118225743,307079.96,28527.728284,9163106.0,9163.11,25104.4,696.7,1646,30736,8,14,0.0812
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.761590570701685,-96.89347584,95275.10895219876,61928.82,5753.187378,1847924.0,1847.92,5062.8,140.5,1740,29611,2,14,0.0374
